2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
      297    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      552    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
       12    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
   159/51    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
     1205    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     1167    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
1252/1163    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1699    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      478    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 init.py:1(<module>)
     1699    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       14    0.000    0.000    0.000    0.000 typing.py:1719(__getitem__)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
      634    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       24    0.000    0.000    0.000    0.000 inspect.py:3284(__str__)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plistlib.py:884(load)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       24    0.000    0.000    0.000    0.000 inspect.py:3287(format)
     1074    0.000    0.000    0.000    0.000 _parser.py:239(__next)
